2025-02-22 18:44:27,752 INFO    MainThread:32736 [wandb_setup.py:_flush():79] Current SDK version is 0.18.6
2025-02-22 18:44:27,753 INFO    MainThread:32736 [wandb_setup.py:_flush():79] Configure stats pid to 32736
2025-02-22 18:44:27,753 INFO    MainThread:32736 [wandb_setup.py:_flush():79] Loading settings from /home/zjb/.config/wandb/settings
2025-02-22 18:44:27,753 INFO    MainThread:32736 [wandb_setup.py:_flush():79] Loading settings from /media/zjb/extend/zjb/pythonCodes/BigymACT/wandb/settings
2025-02-22 18:44:27,753 INFO    MainThread:32736 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2025-02-22 18:44:27,753 INFO    MainThread:32736 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2025-02-22 18:44:27,753 INFO    MainThread:32736 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program_abspath': '/media/zjb/extend/zjb/pythonCodes/BigymACT/train.py', 'program': '/media/zjb/extend/zjb/pythonCodes/BigymACT/train.py'}
2025-02-22 18:44:27,753 INFO    MainThread:32736 [wandb_setup.py:_flush():79] Applying login settings: {}
2025-02-22 18:44:27,753 INFO    MainThread:32736 [wandb_init.py:_log_setup():533] Logging user logs to /media/zjb/extend/zjb/pythonCodes/BigymACT/wandb/run-20250222_184427-c89hh8d9/logs/debug.log
2025-02-22 18:44:27,753 INFO    MainThread:32736 [wandb_init.py:_log_setup():534] Logging internal logs to /media/zjb/extend/zjb/pythonCodes/BigymACT/wandb/run-20250222_184427-c89hh8d9/logs/debug-internal.log
2025-02-22 18:44:27,753 INFO    MainThread:32736 [wandb_init.py:init():619] calling init triggers
2025-02-22 18:44:27,754 INFO    MainThread:32736 [wandb_init.py:init():626] wandb.init called with sweep_config: {}
config: {}
2025-02-22 18:44:27,754 INFO    MainThread:32736 [wandb_init.py:init():669] starting backend
2025-02-22 18:44:27,754 INFO    MainThread:32736 [wandb_init.py:init():673] sending inform_init request
2025-02-22 18:44:27,756 INFO    MainThread:32736 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-02-22 18:44:27,757 INFO    MainThread:32736 [wandb_init.py:init():686] backend started and connected
2025-02-22 18:44:27,761 INFO    MainThread:32736 [wandb_init.py:init():781] updated telemetry
2025-02-22 18:44:27,762 INFO    MainThread:32736 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2025-02-22 18:44:28,748 INFO    MainThread:32736 [wandb_init.py:init():867] starting run threads in backend
2025-02-22 18:44:28,904 INFO    MainThread:32736 [wandb_run.py:_console_start():2451] atexit reg
2025-02-22 18:44:28,904 INFO    MainThread:32736 [wandb_run.py:_redirect():2299] redirect: wrap_raw
2025-02-22 18:44:28,904 INFO    MainThread:32736 [wandb_run.py:_redirect():2364] Wrapping output streams.
2025-02-22 18:44:28,904 INFO    MainThread:32736 [wandb_run.py:_redirect():2389] Redirects installed.
2025-02-22 18:44:28,906 INFO    MainThread:32736 [wandb_init.py:init():911] run started, returning control to user process
